"Opcode","Addressing Mode","Operation"
"0x00","Implied","BRK"
"0x01","(Indirect, X)","ORA"
"0x02","Immediate","HLT*"
"0x03","(Indirect, X)","ASO*"
"0x04","Zero Page","NOP*"
"0x05","Zero Page","ORA"
"0x06","Zero Page","ASL"
"0x07","Zero Page","ASO*"
"0x08","Implied","PHP"
"0x09","Immediate","ORA"
"0x0A","Implied","ASL A"
"0x0B","Immediate","ANC*"
"0x0C","Absolute","NOP*"
"0x0D","Absolute","ORA"
"0x0E","Absolute","ASL"
"0x0F","Absolute","ASO*"
"0x10","Relative","BPL"
"0x11","(Indirect), Y","ORA"
"0x12","Immediate","HLT*"
"0x13","(Indirect), Y","ASO*"
"0x14","Zero Page, X","NOP*"
"0x15","Zero Page, X","ORA"
"0x16","Zero Page, X","ASL"
"0x17","Zero Page, X","ASO*"
"0x18","Implied","CLC"
"0x19","Absolute, Y","ORA"
"0x1A","Implied","NOP*"
"0x1B","Absolute, Y","ASO*"
"0x1C","Absolute, X","NOP*"
"0x1D","Absolute, X","ORA"
"0x1E","Absolute, X","ASL"
"0x1F","Absolute, X","ASO*"
"0x20","Implied","JSR"
"0x21","(Indirect, X)","AND"
"0x22","Immediate","HLT*"
"0x23","(Indirect, X)","RLA*"
"0x24","Zero Page","BIT"
"0x25","Zero Page","AND"
"0x26","Zero Page","ROL"
"0x27","Zero Page","RLA*"
"0x28","Implied","PLP"
"0x29","Immediate","AND"
"0x2A","Implied","ROL A"
"0x2B","Immediate","ANC*"
"0x2C","Absolute","BIT"
"0x2D","Absolute","AND"
"0x2E","Absolute","ROL"
"0x2F","Absolute","RLA*"
"0x30","Relative","BMI"
"0x31","(Indirect), Y","AND"
"0x32","Immediate","HLT*"
"0x33","(Indirect), Y","RLA*"
"0x34","Zero Page, X","NOP*"
"0x35","Zero Page, X","AND"
"0x36","Zero Page, X","ROL"
"0x37","Zero Page, X","RLA*"
"0x38","Implied","SEC"
"0x39","Absolute, Y","AND"
"0x3A","Implied","NOP*"
"0x3B","Absolute, Y","RLA*"
"0x3C","Absolute, X","NOP*"
"0x3D","Absolute, X","AND"
"0x3E","Absolute, X","ROL"
"0x3F","Absolute, X","RLA*"
"0x40","Implied","RTI"
"0x41","(Indirect, X)","EOR"
"0x42","Immediate","HLT*"
"0x43","(Indirect, X)","LSE*"
"0x44","Zero Page","NOP*"
"0x45","Zero Page","EOR"
"0x46","Zero Page","LSR"
"0x47","Zero Page","LSE*"
"0x48","Implied","PHA"
"0x49","Immediate","EOR"
"0x4A","Implied","LSR A"
"0x4B","Immediate","ALR*"
"0x4C","Absolute","JMP"
"0x4D","Absolute","EOR"
"0x4E","Absolute","LSR"
"0x4F","Absolute","LSE*"
"0x50","Relative","BVC"
"0x51","(Indirect), Y","EOR"
"0x52","Immediate","HLT*"
"0x53","(Indirect), Y","LSE*"
"0x54","Zero Page, X","NOP*"
"0x55","Zero Page, X","EOR"
"0x56","Zero Page, X","LSR"
"0x57","Zero Page, X","LSE*"
"0x58","Implied","CLI"
"0x59","Absolute, Y","EOR"
"0x5A","Implied","NOP*"
"0x5B","Absolute, Y","LSE*"
"0x5C","Absolute, X","NOP*"
"0x5D","Absolute, X","EOR"
"0x5E","Absolute, X","LSR"
"0x5F","Absolute, X","LSE*"
"0x60","Implied","RTS"
"0x61","(Indirect, X)","ADC"
"0x62","Immediate","HLT*"
"0x63","(Indirect, X)","RRA*"
"0x64","Zero Page","NOP*"
"0x65","Zero Page","ADC"
"0x66","Zero Page","ROR"
"0x67","Zero Page","RRA*"
"0x68","Implied","PLA"
"0x69","Immediate","ADC"
"0x6A","Implied","ROR A"
"0x6B","Immediate","ARR*"
"0x6C","(Indirect)","JMP"
"0x6D","Absolute","ADC"
"0x6E","Absolute","ROR"
"0x6F","Absolute","RRA*"
"0x70","Relative","BVS"
"0x71","(Indirect), Y","ADC"
"0x72","Immediate","HLT*"
"0x73","(Indirect), Y","RRA*"
"0x74","Zero Page, X","NOP*"
"0x75","Zero Page, X","ADC"
"0x76","Zero Page, X","ROR"
"0x77","Zero Page, X","RRA*"
"0x78","Implied","SEI"
"0x79","Absolute, Y","ADC"
"0x7A","Implied","NOP*"
"0x7B","Absolute, Y","RRA*"
"0x7C","Absolute, X","NOP*"
"0x7D","Absolute, X","ADC"
"0x7E","Absolute, X","ROR"
"0x7F","Absolute, X","RRA*"
"0x80","Immediate","NOP*"
"0x81","(Indirect, X)","STA"
"0x82","Immediate","HLT*"
"0x83","(Indirect, X)","AXS*"
"0x84","Zero Page","STY"
"0x85","Zero Page","STA"
"0x86","Zero Page","STX"
"0x87","Zero Page","AXS*"
"0x88","Implied","DEY"
"0x89","Immediate","NOP*"
"0x8A","Implied","TXA"
"0x8B","Immediate","XAA*"
"0x8C","Absolute","STY"
"0x8D","Absolute","STA"
"0x8E","Absolute","STX"
"0x8F","Absolute","AXS*"
"0x90","Relative","BCC"
"0x91","(Indirect), Y","STA"
"0x92","Immediate","HLT*"
"0x93","(Indirect), Y","AHX*"
"0x94","Zero Page, X","STY"
"0x95","Zero Page, X","STA"
"0x96","Zero Page, Y","STX"
"0x97","Zero Page, Y","AXS*"
"0x98","Implied","TYA"
"0x99","Absolute, Y","STA"
"0x9A","Implied","TXS"
"0x9B","Absolute, Y","TAS"
"0x9C","Absolute, X","SHY*"
"0x9D","Absolute, X","STA"
"0x9E","Absolute, Y","SHX*"
"0x9F","Absolute, Y","AHX*"
"0xA0","Immediate","LDY"
"0xA1","(Indirect, X)","LDA"
"0xA2","Immediate","LDX"
"0xA3","(Indirect, X)","LAX*"
"0xA4","Zero Page","LDY"
"0xA5","Zero Page","LDA"
"0xA6","Zero Page","LDX"
"0xA7","Zero Page","LAX*"
"0xA8","Implied","TAY"
"0xA9","Immediate","LDA"
"0xAA","Implied","TAX"
"0xAB","Immediate","LAX*"
"0xAC","Absolute","LDY"
"0xAD","Absolute","LDA"
"0xAE","Absolute","LDX"
"0xAF","Absolute","LAX*"
"0xB0","Relative","BCS"
"0xB1","(Indirect), Y","LDA"
"0xB2","Immediate","HLT*"
"0xB3","(Indirect), Y","LAX*"
"0xB4","Zero Page, X","LDY"
"0xB5","Zero Page, X","LDA"
"0xB6","Zero Page, Y","LDX"
"0xB7","Zero Page, Y","LAX*"
"0xB8","Implied","CLV"
"0xB9","Absolute, Y","LDA"
"0xBA","Implied","TSX"
"0xBB","Absolute, Y","LAS*"
"0xBC","Absolute, X","LDY"
"0xBD","Absolute, X","LDA"
"0xBE","Absolute, Y","LDX"
"0xBF","Absolute, Y","LAX*"
"0xC0","Immediate","CPY"
"0xC1","(Indirect, X)","CMP"
"0xC2","Immediate","NOP*"
"0xC3","(Indirect, X)","DCM*"
"0xC4","Zero Page","CPY"
"0xC5","Zero Page","CMP"
"0xC6","Zero Page","DEC"
"0xC7","Zero Page","DCM*"
"0xC8","Implied","INY"
"0xC9","Immediate","CMP"
"0xCA","Implied","DEX"
"0xCB","Immediate","AXS*"
"0xCC","Absolute","CPY"
"0xCD","Absolute","CMP"
"0xCE","Absolute","DEC"
"0xCF","Absolute","DCM*"
"0xD0","Relative","BNE"
"0xD1","(Indirect), Y","CMP"
"0xD2","Immediate","HLT*"
"0xD3","(Indirect), Y","DCM*"
"0xD4","Zero Page, X","NOP*"
"0xD5","Zero Page, X","CMP"
"0xD6","Zero Page, X","DEC"
"0xD7","Zero Page, X","DCM*"
"0xD8","Implied","CLD"
"0xD9","Absolute, Y","CMP"
"0xDA","Implied","NOP*"
"0xDB","Absolute, Y","DCM*"
"0xDC","Absolute, X","NOP*"
"0xDD","Absolute, X","CMP"
"0xDE","Absolute, X","DEC"
"0xDF","Absolute, X","DCM*"
"0xE0","Immediate","CPX"
"0xE1","(Indirect, X)","SBC"
"0xE2","Immediate","NOP*"
"0xE3","(Indirect, X)","ISB*"
"0xE4","Zero Page","CPX"
"0xE5","Zero Page","SBC"
"0xE6","Zero Page","INC"
"0xE7","Zero Page","ISB*"
"0xE8","Implied","INX"
"0xE9","Immediate","SBC"
"0xEA","Implied","NOP"
"0xEB","Immediate","SBC*"
"0xEC","Absolute","CPX"
"0xED","Absolute","SBC"
"0xEE","Absolute","INC"
"0xEF","Absolute","ISB*"
"0xF0","Relative","BEQ"
"0xF1","(Indirect), Y","SBC"
"0xF2","Immediate","HLT*"
"0xF3","(Indirect), Y","ISB*"
"0xF4","Zero Page, X","NOP*"
"0xF5","Zero Page, X","SBC"
"0xF6","Zero Page, X","INC"
"0xF7","Zero Page, X","ISB*"
"0xF8","Implied","SED"
"0xF9","Absolute, Y","SBC"
"0xFA","Implied","NOP*"
"0xFB","Absolute, Y","ISB*"
"0xFC","Absolute, X","NOP*"
"0xFD","Absolute, X","SBC"
"0xFE","Absolute, X","INC"
"0xFF","Absolute, X","ISB*"
