"Instruction","Cycle ","Condition","Target","Assign"
"JMP",-1,,"{next_pch, next_pcl}","next_ad"
"JMP",-1,,"next_cycle",0
,,,,
"LDX",-1,,"next_x","G_rd_data"
"LDX",-1,,"next_cycle",0
"LDX",-1,,"G_rdwr",1
,,,,
"STX",-1,,"G_wr_data","curr_x"
"STX",-1,,"next_cycle",0
"STX",-1,,"G_rdwr",0
,,,,
"JSR",-1,,"G_addr","curr_pc"
"JSR",-1,,"G_rdwr",1
"JSR",-1,,"next_adl","G_rd_data"
"JSR",-1,,"next_cycle","curr_cycle + 1 "
,,,,
"JSR",0,,"G_addr","{8'h0, curr_s} + stack_base"
"JSR",0,,"G_rdwr",1
"JSR",0,,"next_cycle","curr_cycle + 1 "
,,,,
"JSR",1,,"G_addr","{8'h0, curr_s} + stack_base"
"JSR",1,,"G_rdwr",0
"JSR",1,,"G_wr_data","curr_pch"
"JSR",1,,"next_s","curr_s - 1"
"JSR",1,,"next_cycle","curr_cycle + 1 "
,,,,
"JSR",2,,"G_addr","{8'h0, curr_s} + stack_base"
"JSR",2,,"G_rdwr",0
"JSR",2,,"G_wr_data","curr_pcl"
"JSR",2,,"next_s","curr_s - 1"
"JSR",2,,"{next_pch, next_pcl}","curr_pc + 1"
"JSR",2,,"next_cycle","curr_cycle + 1 "
,,,,
"JSR",3,,"G_addr","curr_pc"
"JSR",3,,"G_rdwr",1
"JSR",3,,"next_adh","G_rd_data"
"JSR",3,,"next_cycle",0
"JSR",3,,"{next_pch, next_pcl}","next_ad"
